Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2011,201108,11-Aug,2,0,2,Exports,699,India,,0,World,,,,,,,,,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",0,,,,,,,,13723876,,,0
HS,2011,201108,11-Aug,2,0,2,Exports,699,India,,0,World,,,,,,,,,2,Meat and edible meat offal,0,,,,,,,,245512454,,,0
HS,2011,201108,11-Aug,2,0,2,Exports,699,India,,0,World,,,,,,,,,5,Animal originated products; not elsewhere specified or included,0,,,,,,,,4745024,,,0
HS,2011,201108,11-Aug,2,0,2,Exports,699,India,,0,World,,,,,,,,,7,Vegetables and certain roots and tubers; edible,0,,,,,,,,65726557,,,0
HS,2011,201108,11-Aug,2,0,2,Exports,699,India,,0,World,,,,,,,,,1,Animals; live,0,,,,,,,,1595549,,,0
HS,2011,201108,11-Aug,2,0,2,Exports,699,India,,0,World,,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,322999269,,,0
HS,2011,201108,11-Aug,2,0,2,Exports,699,India,,0,World,,,,,,,,,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",0,,,,,,,,6520750,,,0
HS,2011,201108,11-Aug,2,0,2,Exports,699,India,,0,World,,,,,,,,,8,"Fruit and nuts, edible; peel of citrus fruit or melons",0,,,,,,,,129843911,,,0
HS,2011,201108,11-Aug,2,0,2,Exports,699,India,,0,World,,,,,,,,,9,"Coffee, tea, mate and spices",0,,,,,,,,294106679,,,0
HS,2011,201108,11-Aug,2,0,2,Exports,699,India,,0,World,,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",0,,,,,,,,183975408,,,0
HS,2011,201108,11-Aug,2,0,2,Exports,699,India,,0,World,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,0,,,,,,,,87062784,,,0
HS,2011,201108,11-Aug,2,0,2,Exports,699,India,,0,World,,,,,,,,,10,Cereals,0,,,,,,,,284234706,,,0
HS,2011,201108,11-Aug,2,0,2,Exports,699,India,,0,World,,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,0,,,,,,,,4097065,,,0
HS,2011,201108,11-Aug,2,0,2,Exports,699,India,,0,World,,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",0,,,,,,,,10392890,,,0
HS,2011,201108,11-Aug,2,0,2,Exports,699,India,,0,World,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",0,,,,,,,,116451098,,,0
HS,2011,201108,11-Aug,2,0,2,Exports,699,India,,0,World,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",0,,,,,,,,30108711,,,0
HS,2011,201108,11-Aug,2,0,2,Exports,699,India,,0,World,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",0,,,,,,,,32048607,,,0
HS,2011,201108,11-Aug,2,0,2,Exports,699,India,,0,World,,,,,,,,,21,Miscellaneous edible preparations,0,,,,,,,,32052711,,,0
HS,2011,201108,11-Aug,2,0,2,Exports,699,India,,0,World,,,,,,,,,18,Cocoa and cocoa preparations,0,,,,,,,,2631362,,,0
HS,2011,201108,11-Aug,2,0,2,Exports,699,India,,0,World,,,,,,,,,24,Tobacco and manufactured tobacco substitutes,0,,,,,,,,43849708,,,0
HS,2011,201108,11-Aug,2,0,2,Exports,699,India,,0,World,,,,,,,,,22,"Beverages, spirits and vinegar",0,,,,,,,,16837287,,,0
HS,2011,201108,11-Aug,2,0,2,Exports,699,India,,0,World,,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",0,,,,,,,,132120003,,,0
HS,2011,201108,11-Aug,2,0,2,Exports,699,India,,0,World,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",0,,,,,,,,12070325,,,0
HS,2011,201108,11-Aug,2,0,2,Exports,699,India,,0,World,,,,,,,,,17,Sugars and sugar confectionery,0,,,,,,,,176737309,,,0
HS,2011,201108,11-Aug,2,0,2,Exports,699,India,,0,World,,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",0,,,,,,,,111080890,,,0
HS,2011,201108,11-Aug,2,0,2,Exports,699,India,,0,World,,,,,,,,,26,"Ores, slag and ash",0,,,,,,,,458015369,,,0
HS,2011,201108,11-Aug,2,0,2,Exports,699,India,,0,World,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0,,,,,,,,4566202165,,,0
HS,2011,201105,11-May,2,0,2,Exports,699,India,,0,World,,,,,,,,,1,Animals; live,0,,,,,,,,877918,,,0
HS,2011,201105,11-May,2,0,2,Exports,699,India,,0,World,,,,,,,,,2,Meat and edible meat offal,0,,,,,,,,186970637,,,0
HS,2011,201105,11-May,2,0,2,Exports,699,India,,0,World,,,,,,,,,7,Vegetables and certain roots and tubers; edible,0,,,,,,,,92050458,,,0
HS,2011,201105,11-May,2,0,2,Exports,699,India,,0,World,,,,,,,,,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",0,,,,,,,,15635311,,,0
HS,2011,201105,11-May,2,0,2,Exports,699,India,,0,World,,,,,,,,,5,Animal originated products; not elsewhere specified or included,0,,,,,,,,26060395,,,0
HS,2011,201105,11-May,2,0,2,Exports,699,India,,0,World,,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,196880714,,,0
